,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_input_copies,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,11.944564867019654,2.259549724920875,0.1894686222076416,0.0076380844888079774,32,0.001,1,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.8125,0.8958333333333334,0.8125,0.7291666666666666,0.7083333333333334,0.7916666666666667,0.06718548123582126,21,0.8975694444444444,0.9565972222222222,0.9253472222222222,0.8472222222222222,0.8295652173913044,0.8912602657004831,0.047363007691925356,21
1,20.156398582458497,2.720727610559142,0.4724921226501465,0.010361983332085312,32,0.001,1,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 5}",0.9583333333333334,0.9375,0.875,0.9375,0.8958333333333334,0.9208333333333334,0.030618621784789732,10,1.0,0.9947916666666667,0.9704861111111112,0.9809027777777778,0.9565217391304348,0.980540458937198,0.01587381961866344,14
2,24.49694414138794,1.5720029740245767,0.8957330703735351,0.01399635315420315,32,0.001,1,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 10}",1.0,0.9375,0.8958333333333334,0.9583333333333334,0.9166666666666666,0.9416666666666668,0.035843021946010946,1,1.0,0.9947916666666667,0.9756944444444444,0.9895833333333334,0.9756521739130435,0.9871443236714976,0.009928426635316883,2
3,16.46484923362732,0.548407423136932,0.2457292079925537,0.020540676780631238,32,0.001,1,2,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 1}",0.625,0.7708333333333334,0.75,0.6458333333333334,0.5625,0.6708333333333334,0.07839536550927825,27,0.7222222222222222,0.8402777777777777,0.8628472222222222,0.7378472222222222,0.6278260869565218,0.7582041062801933,0.08531564440221374,25
4,37.41163263320923,1.1469780501428928,1.0159008026123046,0.010021357841752879,32,0.001,1,2,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 5}",0.9583333333333334,0.9791666666666666,0.9166666666666666,0.9166666666666666,0.8958333333333334,0.9333333333333332,0.030618621784789718,6,1.0,1.0,0.9861111111111112,0.9774305555555556,0.9617391304347827,0.9850561594202899,0.014488501238060364,9
5,72.34456663131714,3.737334311683478,2.4435285568237304,0.035885794636111586,32,0.001,1,2,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 10}",1.0,0.9375,0.8958333333333334,0.9166666666666666,0.9166666666666666,0.9333333333333333,0.035843021946010946,4,1.0,0.9895833333333333,0.9791666666666667,0.9756944444444444,0.968695652173913,0.9826280193236716,0.010993892693758674,10
6,42.55659346580505,4.550848361306876,0.3920413017272949,0.012558112354922967,32,0.001,1,3,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 1}",0.7916666666666666,0.9375,0.875,0.625,0.6458333333333334,0.775,0.12318121249245402,23,0.8854166666666667,0.998263888888889,0.9409722222222222,0.8194444444444444,0.7582608695652173,0.8804716183574879,0.08511119625983495,22
7,259.16677069664,52.36199018618756,2.362809181213379,0.06337153283114669,32,0.001,1,3,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 5}",0.8958333333333334,0.9166666666666666,0.8125,0.8541666666666666,0.9166666666666666,0.8791666666666667,0.04039733214513607,16,0.9756944444444444,0.9288194444444444,0.90625,0.9079861111111112,0.942608695652174,0.9322717391304348,0.025578213312051026,18
8,794.9963477134704,123.23628368995611,5.15788426399231,0.3992495662383972,32,0.001,1,3,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 10}",0.9791666666666666,1.0,0.8958333333333334,0.9166666666666666,0.9166666666666666,0.9416666666666667,0.04039733214513607,3,1.0,1.0,0.96875,0.9583333333333334,0.9634782608695653,0.9781123188405797,0.018172276178511197,15
9,4.8075745582580565,0.23761297946550003,0.13554415702819825,0.010108833701012157,32,0.01,1,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.8541666666666666,0.9166666666666666,0.875,0.7708333333333334,0.7291666666666666,0.8291666666666666,0.0689706056551952,19,0.9583333333333333,0.9861111111111112,0.9409722222222222,0.8663194444444444,0.8608695652173914,0.9225211352657003,0.05025174088312168,19
